0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,0
1,1,0.71632,0.43455,0.76763,0.56877,0.64816,0.64001,0.54582,0.70302,0.77164,0.56697,0.86831,0.64625,0.37832,0.57313,0.74293,0.62749,0.63703,0.90645,0.77717,0.72556,0.89752,0.79496,0.71322,0.47828,0.79846,0.85302,0.83594,0.78064,0.87108,0.85302,0.75453,0.7443,0.69369,0.78156,0.79496,0.85507,0.64433,0.78518,0.83668,0.53752,0.48241,0.64433,0.73625,0.86831,0.64709,0.34627,0.60795,0.51669,0.50658,0.62615
2,0.71632,1,0.40273,0.5475,0.78832,0.86333,0.87668,0.76867,0.46858,0.87736,0.78346,0.75407,0.89794,0.25139,0.56392,0.86573,0.84339,0.86135,0.73047,0.83149,0.90025,0.74002,0.85101,0.92754,0.66584,0.81977,0.80995,0.81786,0.84873,0.76907,0.80995,0.86222,0.90974,0.91215,0.87946,0.85101,0.77652,0.87532,0.83888,0.84567,0.71933,0.70021,0.87532,0.83876,0.75407,0.87194,0.50294,0.83768,0.44139,0.49373,0.80192
3,0.43455,0.40273,1,0.30669,0.33455,0.38221,0.39672,0.32605,0.51292,0.40842,0.34663,0.40654,0.38853,0.76264,0.24189,0.39801,0.37424,0.39189,0.39195,0.38281,0.39561,0.43402,0.37604,0.37508,0.30666,0.41396,0.42095,0.39678,0.42764,0.41192,0.42095,0.42241,0.39802,0.4015,0.4174,0.37604,0.35665,0.36486,0.40043,0.41805,0.32482,0.31062,0.36486,0.41092,0.40654,0.38696,0.13284,0.35487,0.66839,0.0655,0.38425
4,0.76763,0.5475,0.30669,1,0.40961,0.48733,0.47058,0.39761,0.6487,0.63402,0.41325,0.71775,0.50297,0.2787,0.47495,0.59853,0.46897,0.47936,0.75024,0.63152,0.5617,0.72019,0.64719,0.55517,0.34438,0.65224,0.69392,0.66449,0.63631,0.71576,0.69392,0.58097,0.59827,0.52336,0.60848,0.64719,0.71634,0.49724,0.6027,0.65809,0.38328,0.32206,0.49724,0.57595,0.71775,0.47426,0.23997,0.45354,0.37155,0.3738,0.4633
5,0.56877,0.78832,0.33455,0.40961,1,0.84654,0.87346,0.90042,0.33221,0.68907,0.87086,0.64847,0.83854,0.26222,0.45464,0.75129,0.86972,0.87916,0.59947,0.72899,0.80823,0.65286,0.6987,0.80788,0.65908,0.67666,0.6514,0.70099,0.74438,0.63734,0.6514,0.7715,0.75623,0.80354,0.72734,0.6987,0.60117,0.82017,0.70696,0.68791,0.68271,0.83648,0.82017,0.71908,0.64847,0.86902,0.56083,0.85798,0.40072,0.52491,0.6761
6,0.64816,0.86333,0.38221,0.48733,0.84654,1,0.8988,0.83013,0.37382,0.7623,0.8644,0.69744,0.86391,0.23241,0.52338,0.8101,0.90914,0.90913,0.66926,0.81049,0.85471,0.70776,0.75905,0.85548,0.71028,0.73344,0.72175,0.75058,0.78953,0.71339,0.72175,0.83023,0.81773,0.88554,0.77804,0.75905,0.67307,0.86846,0.76486,0.74979,0.73517,0.76877,0.86846,0.7944,0.69744,0.90926,0.54641,0.88668,0.43825,0.54862,0.75916
7,0.64001,0.87668,0.39672,0.47058,0.87346,0.8988,1,0.86881,0.38951,0.7697,0.878,0.69799,0.92164,0.23551,0.51109,0.80363,0.93178,0.94246,0.65917,0.78992,0.87218,0.69341,0.77795,0.88792,0.7315,0.74997,0.72897,0.75344,0.79958,0.70063,0.72897,0.83576,0.8357,0.85893,0.79917,0.77795,0.68727,0.89204,0.76478,0.76109,0.73103,0.79784,0.89204,0.78706,0.69799,0.94352,0.56935,0.92074,0.44791,0.50161,0.76991
8,0.54582,0.76867,0.32605,0.39761,0.90042,0.83013,0.86881,1,0.29336,0.67034,0.86623,0.62174,0.8254,0.23422,0.4185,0.7034,0.86953,0.86349,0.56565,0.7028,0.77825,0.61239,0.67754,0.78556,0.64267,0.65963,0.63082,0.67364,0.71803,0.60733,0.63082,0.74116,0.7367,0.76737,0.6991,0.67754,0.57991,0.84416,0.6576,0.6616,0.67311,0.85568,0.84416,0.71467,0.62174,0.86379,0.56334,0.88447,0.40815,0.51696,0.65583
9,0.70302,0.46858,0.51292,0.6487,0.33221,0.37382,0.38951,0.29336,1,0.54732,0.32061,0.63694,0.41274,0.49646,0.37733,0.52368,0.35649,0.38306,0.66017,0.50297,0.47366,0.64595,0.57215,0.46569,0.29392,0.55143,0.60622,0.58654,0.53804,0.61312,0.60622,0.51341,0.48897,0.44115,0.54854,0.57215,0.63421,0.39556,0.5657,0.58623,0.32761,0.24402,0.39556,0.49061,0.63694,0.38449,0.15875,0.3458,0.56535,0.20897,0.47538
